Sample #,Ithd,LSL,USL,Average,IHD 2nd Order,LSL,USL,Average,IHD 3rd Order,LSL,USL,Average,IHD 4th Order,LSL,USL,Average,IHD 5th Order,LSL,USL,Average,IHD 6th Order,LSL,USL,Average,IHD 7th Order,LSL,USL,Average,IHD 8th Order,LSL,USL,Average,IHD 9th Order,LSL,USL,Average,IHD 10th Order,LSL,USL,Average,IHD 11th Order,LSL,USL,Average,IHD 12th Order,LSL,USL,Average,IHD 13th Order,LSL,USL,Average,IHD 14th Order,LSL,USL,Average,IHD 15th Order,LSL,USL,Average,IHD 16th Order,LSL,USL,Average,IHD 17th Order,LSL,USL,Average,IHD 18th Order,LSL,USL,Average,IHD 19th Order,LSL,USL,Average,IHD 20th Order,LSL,USL,Average,IHD 21st Order,LSL,USL,Average,IHD 22nd Order,LSL,USL,Average,IHD 23rd Order,LSL,USL,Average,IHD 24th Order,LSL,USL,Average,IHD 25th Order,LSL,USL,Average,IHD 26th Order,LSL,USL,Average,IHD 27th Order,LSL,USL,Average,IHD 28th Order,LSL,USL,Average,IHD 29th Order,LSL,USL,Average,IHD 30th Order,LSL,USL,Average,IHD 31st Order,LSL,USL,Average,IHD 32nd Order,LSL,USL,Average,IHD 33rd Order,LSL,USL,Average,IHD 34th Order,LSL,USL,Average,IHD 35th Order,LSL,USL,Average,IHD 36th Order,LSL,USL,Average,IHD 37th Order,LSL,USL,Average,IHD 38th Order,LSL,USL,Average,IHD 39th Order,LSL,USL,Average,IHD 40th Order,LSL,USL,Average
1,2.16,0,5,2.114516129,0.0498432,0,1.08,0.064152332,0.07788,0,2.3,0.083432544,0.0186912,0,0.43,0.030511829,0.0417956,0,1.14,0.043709477,0.0137588,0,0.3,0.021216677,0.0273878,0,0.77,0.03443282,0.0093456,0,0.23,0.014724047,0.0236236,0,0.4,0.033285871,0.0068794,0,0.184,0.009647632,0.0255706,0,0.33,0.033345516,0.0044132,0,0.153,0.006295787,0.0267388,0,0.21,0.031964962,0.0031152,0,0.131,0.004002141,0.0262196,0,0.15,0.030447338,0.0024662,0,0.115,0.002964328,0.0255706,0,0.132,0.028973316,0.0024662,0,0.102,0.002531812,0.0255706,0,0.118,0.027301515,0.0024662,0,0.092,0.002363222,0.0242726,0,0.107,0.026162533,0.0024662,0,0.084,0.002288715,0.0236236,0,0.098,0.025039437,0.0031152,0,0.077,0.002278765,0.0211574,0,0.09,0.021993417,0.0024662,0,0.071,0.002386524,0.0173932,0,0.083,0.019467714,0.0049324,0,0.066,0.002741092,0.015576,0,0.078,0.017177866,0.0075284,0,0.061,0.003439278,0.0186912,0,0.073,0.015628805,0.0131098,0,0.058,0.004708674,0.0193402,0,0.068,0.016191489,0.0280368,0,0.054,0.00679766,0.0293348,0,0.064,0.024026553,0.0398486,0,0.051,0.008981084,0.0442618,0,0.061,0.030315382,0.0404976,0,0.048,0.00907563,0.0367334,0,0.058,0.025523433,0.0293348,0,0.046,0.007052405
2,2.48,0,5,2.114516129,0.0958483,0,1.08,0.064152332,0.0666658,0,2.3,0.083432544,0.0722429,0,0.43,0.030511829,0.0329438,0,1.14,0.043709477,0.0529176,0,0.3,0.021216677,0.0304795,0,0.77,0.03443282,0.0360566,0,0.23,0.014724047,0.0355378,0,0.4,0.033285871,0.0230866,0,0.184,0.009647632,0.0367051,0,0.33,0.033345516,0.0137482,0,0.153,0.006295787,0.0355378,0,0.21,0.031964962,0.0080414,0,0.131,0.004002141,0.0335923,0,0.15,0.030447338,0.0044098,0,0.115,0.002964328,0.031128,0,0.132,0.028973316,0.0031128,0,0.102,0.002531812,0.029831,0,0.118,0.027301515,0.0024643,0,0.092,0.002363222,0.0280152,0,0.107,0.026162533,0.0024643,0,0.084,0.002288715,0.0261994,0,0.098,0.025039437,0.0018158,0,0.077,0.002278765,0.0230866,0,0.09,0.021993417,0.0018158,0,0.071,0.002386524,0.0211411,0,0.083,0.019467714,0.001297,0,0.066,0.002741092,0.016861,0,0.078,0.017177866,0.001297,0,0.061,0.003439278,0.0137482,0,0.073,0.015628805,0.001297,0,0.058,0.004708674,0.0180283,0,0.068,0.016191489,0.001297,0,0.054,0.00679766,0.0273667,0,0.064,0.024026553,0.001297,0,0.051,0.008981084,0.0348893,0,0.061,0.030315382,0.0018158,0,0.048,0.00907563,0.032425,0,0.058,0.025523433,0.001297,0,0.046,0.007052405
3,2.92,0,5,2.114516129,0.120782,0,1.08,0.064152332,0.071002,0,2.3,0.083432544,0.090521,0,0.43,0.030511829,0.042182,0,1.14,0.043709477,0.06288,0,0.3,0.021216677,0.037073,0,0.77,0.03443282,0.041527,0,0.23,0.014724047,0.042182,0,0.4,0.033285871,0.025152,0,0.184,0.009647632,0.045326,0,0.33,0.033345516,0.01441,0,0.153,0.006295787,0.043361,0,0.21,0.031964962,0.008122,0,0.131,0.004002141,0.040872,0,0.15,0.030447338,0.004454,0,0.115,0.002964328,0.037073,0,0.132,0.028973316,0.003799,0,0.102,0.002531812,0.033929,0,0.118,0.027301515,0.003144,0,0.092,0.002363222,0.03144,0,0.107,0.026162533,0.003144,0,0.084,0.002288715,0.028951,0,0.098,0.025039437,0.003144,0,0.077,0.002278765,0.026462,0,0.09,0.021993417,0.003144,0,0.071,0.002386524,0.023318,0,0.083,0.019467714,0.003799,0,0.066,0.002741092,0.018209,0,0.078,0.017177866,0.003799,0,0.061,0.003439278,0.018209,0,0.073,0.015628805,0.004978,0,0.058,0.004708674,0.021353,0,0.068,0.016191489,0.008122,0,0.054,0.00679766,0.028296,0,0.064,0.024026553,0.011266,0,0.051,0.008981084,0.035239,0,0.061,0.030315382,0.013231,0,0.048,0.00907563,0.032095,0,0.058,0.025523433,0.011921,0,0.046,0.007052405
4,2.45,0,5,2.114516129,0.0566352,0,1.08,0.064152332,0.0895536,0,2.3,0.083432544,0.0186624,0,0.43,0.030511829,0.062856,0,1.14,0.043709477,0.0117936,0,0.3,0.021216677,0.0522288,0,0.77,0.03443282,0.0080352,0,0.23,0.014724047,0.046656,0,0.4,0.033285871,0.0049248,0,0.184,0.009647632,0.0441936,0,0.33,0.033345516,0.0037584,0,0.153,0.006295787,0.0391392,0,0.21,0.031964962,0.0031104,0,0.131,0.004002141,0.0355104,0,0.15,0.030447338,0.0031104,0,0.115,0.002964328,0.0329184,0,0.132,0.028973316,0.0031104,0,0.102,0.002531812,0.030456,0,0.118,0.027301515,0.0031104,0,0.092,0.002363222,0.0292896,0,0.107,0.026162533,0.0031104,0,0.084,0.002288715,0.0273456,0,0.098,0.025039437,0.0024624,0,0.077,0.002278765,0.0235872,0,0.09,0.021993417,0.0024624,0,0.071,0.002386524,0.0199584,0,0.083,0.019467714,0.0044064,0,0.066,0.002741092,0.0173664,0,0.078,0.017177866,0.0080352,0,0.061,0.003439278,0.0173664,0,0.073,0.015628805,0.0137376,0,0.058,0.004708674,0.0180144,0,0.068,0.016191489,0.0230688,0,0.054,0.00679766,0.0286416,0,0.064,0.024026553,0.0379728,0,0.051,0.008981084,0.0386208,0,0.061,0.030315382,0.0410832,0,0.048,0.00907563,0.0324,0,0.058,0.025523433,0.0292896,0,0.046,0.007052405
5,2.2,0,5,2.114516129,0.0851472,0,1.08,0.064152332,0.0756864,0,2.3,0.083432544,0.0554508,0,0.43,0.030511829,0.0396828,0,1.14,0.043709477,0.0409968,0,0.3,0.021216677,0.0258858,0,0.77,0.03443282,0.0290394,0,0.23,0.014724047,0.0265428,0,0.4,0.033285871,0.0189216,0,0.184,0.009647632,0.0290394,0,0.33,0.033345516,0.0119574,0,0.153,0.006295787,0.0296964,0,0.21,0.031964962,0.0069642,0,0.131,0.004002141,0.030879,0,0.15,0.030447338,0.0038106,0,0.115,0.002964328,0.030222,0,0.132,0.028973316,0.0024966,0,0.102,0.002531812,0.0283824,0,0.118,0.027301515,0.0018396,0,0.092,0.002363222,0.0265428,0,0.107,0.026162533,0.0018396,0,0.084,0.002288715,0.0252288,0,0.098,0.025039437,0.001314,0,0.077,0.002278765,0.0214182,0,0.09,0.021993417,0.001314,0,0.071,0.002386524,0.0189216,0,0.083,0.019467714,0.001314,0,0.066,0.002741092,0.017082,0,0.078,0.017177866,0.000657,0,0.061,0.003439278,0.015111,0,0.073,0.015628805,0.000657,0,0.058,0.004708674,0.017082,0,0.068,0.016191489,0.001314,0,0.054,0.00679766,0.0296964,0,0.064,0.024026553,0.0018396,0,0.051,0.008981084,0.0385002,0,0.061,0.030315382,0.0018396,0,0.048,0.00907563,0.03285,0,0.058,0.025523433,0.001314,0,0.046,0.007052405
6,1.81,0,5,2.114516129,0.0693792,0,1.08,0.064152332,0.0738468,0,2.3,0.083432544,0.03285,0,0.43,0.030511829,0.0333756,0,1.14,0.043709477,0.0245718,0,0.3,0.021216677,0.0239148,0,0.77,0.03443282,0.017082,0,0.23,0.014724047,0.0245718,0,0.4,0.033285871,0.0113004,0,0.184,0.009647632,0.0252288,0,0.33,0.033345516,0.0076212,0,0.153,0.006295787,0.0258858,0,0.21,0.031964962,0.0049932,0,0.131,0.004002141,0.0265428,0,0.15,0.030447338,0.0031536,0,0.115,0.002964328,0.0258858,0,0.132,0.028973316,0.0024966,0,0.102,0.002531812,0.0258858,0,0.118,0.027301515,0.0024966,0,0.092,0.002363222,0.0252288,0,0.107,0.026162533,0.0024966,0,0.084,0.002288715,0.0252288,0,0.098,0.025039437,0.0018396,0,0.077,0.002278765,0.0227322,0,0.09,0.021993417,0.0018396,0,0.071,0.002386524,0.0189216,0,0.083,0.019467714,0.0024966,0,0.066,0.002741092,0.0176076,0,0.078,0.017177866,0.0024966,0,0.061,0.003439278,0.014454,0,0.073,0.015628805,0.0031536,0,0.058,0.004708674,0.014454,0,0.068,0.016191489,0.0038106,0,0.054,0.00679766,0.0195786,0,0.064,0.024026553,0.0038106,0,0.051,0.008981084,0.0245718,0,0.061,0.030315382,0.0038106,0,0.048,0.00907563,0.0202356,0,0.058,0.025523433,0.0031536,0,0.046,0.007052405
7,2.1,0,5,2.114516129,0.0699829,0,1.08,0.064152332,0.0743158,0,2.3,0.083432544,0.0359762,0,0.43,0.030511829,0.0359762,0,1.14,0.043709477,0.0252096,0,0.3,0.021216677,0.0258661,0,0.77,0.03443282,0.0164125,0,0.23,0.014724047,0.0265226,0,0.4,0.033285871,0.0101101,0,0.184,0.009647632,0.0265226,0,0.33,0.033345516,0.0063024,0,0.153,0.006295787,0.0270478,0,0.21,0.031964962,0.0044642,0,0.131,0.004002141,0.0265226,0,0.15,0.030447338,0.0038077,0,0.115,0.002964328,0.0265226,0,0.132,0.028973316,0.0031512,0,0.102,0.002531812,0.0265226,0,0.118,0.027301515,0.0031512,0,0.092,0.002363222,0.0258661,0,0.107,0.026162533,0.0031512,0,0.084,0.002288715,0.0252096,0,0.098,0.025039437,0.0031512,0,0.077,0.002278765,0.0233714,0,0.09,0.021993417,0.0038077,0,0.071,0.002386524,0.0214019,0,0.083,0.019467714,0.0038077,0,0.066,0.002741092,0.0182507,0,0.078,0.017177866,0.0049894,0,0.061,0.003439278,0.0233714,0,0.073,0.015628805,0.0076154,0,0.058,0.004708674,0.0283608,0,0.068,0.016191489,0.0101101,0,0.054,0.00679766,0.0353197,0,0.064,0.024026553,0.0119483,0,0.051,0.008981084,0.045955,0,0.061,0.030315382,0.0126048,0,0.048,0.00907563,0.0396526,0,0.058,0.025523433,0.0112918,0,0.046,0.007052405
8,1.59,0,5,2.114516129,0.05057,0,1.08,0.064152332,0.06305,0,2.3,0.083432544,0.02496,0,0.43,0.030511829,0.02873,0,1.14,0.043709477,0.02002,0,0.3,0.021216677,0.02184,0,0.77,0.03443282,0.0143,0,0.23,0.014724047,0.02249,0,0.4,0.033285871,0.00936,0,0.184,0.009647632,0.02314,0,0.33,0.033345516,0.00624,0,0.153,0.006295787,0.02431,0,0.21,0.031964962,0.00442,0,0.131,0.004002141,0.02496,0,0.15,0.030447338,0.00377,0,0.115,0.002964328,0.02496,0,0.132,0.028973316,0.00377,0,0.102,0.002531812,0.02496,0,0.118,0.027301515,0.00312,0,0.092,0.002363222,0.02431,0,0.107,0.026162533,0.00312,0,0.084,0.002288715,0.02431,0,0.098,0.025039437,0.00247,0,0.077,0.002278765,0.02184,0,0.09,0.021993417,0.00247,0,0.071,0.002386524,0.01937,0,0.083,0.019467714,0.00312,0,0.066,0.002741092,0.0169,0,0.078,0.017177866,0.00377,0,0.061,0.003439278,0.0143,0,0.073,0.015628805,0.00442,0,0.058,0.004708674,0.01248,0,0.068,0.016191489,0.00936,0,0.054,0.00679766,0.01248,0,0.064,0.024026553,0.0143,0,0.051,0.008981084,0.01313,0,0.061,0.030315382,0.01378,0,0.048,0.00907563,0.01248,0,0.058,0.025523433,0.00871,0,0.046,0.007052405
9,2.26,0,5,2.114516129,0.0405288,0,1.08,0.064152332,0.0835257,0,2.3,0.083432544,0.0124704,0,0.43,0.030511829,0.0418278,0,1.14,0.043709477,0.0075342,0,0.3,0.021216677,0.029877,0,0.77,0.03443282,0.0055857,0,0.23,0.014724047,0.029877,0,0.4,0.033285871,0.0044166,0,0.184,0.009647632,0.0274089,0,0.33,0.033345516,0.0037671,0,0.153,0.006295787,0.0280584,0,0.21,0.031964962,0.0037671,0,0.131,0.004002141,0.0287079,0,0.15,0.030447338,0.0037671,0,0.115,0.002964328,0.0274089,0,0.132,0.028973316,0.0037671,0,0.102,0.002531812,0.0274089,0,0.118,0.027301515,0.0044166,0,0.092,0.002363222,0.0262398,0,0.107,0.026162533,0.0049362,0,0.084,0.002288715,0.0255903,0,0.098,0.025039437,0.0055857,0,0.077,0.002278765,0.0236418,0,0.09,0.021993417,0.0055857,0,0.071,0.002386524,0.0224727,0,0.083,0.019467714,0.0093528,0,0.066,0.002741092,0.0193551,0,0.078,0.017177866,0.016887,0,0.061,0.003439278,0.0224727,0,0.073,0.015628805,0.0255903,0,0.058,0.004708674,0.0218232,0,0.068,0.016191489,0.031176,0,0.054,0.00679766,0.0374112,0,0.064,0.024026553,0.0329946,0,0.051,0.008981084,0.0523497,0,0.061,0.030315382,0.0305265,0,0.048,0.00907563,0.0498816,0,0.058,0.025523433,0.0262398,0,0.046,0.007052405
10,1.8,0,5,2.114516129,0.0552111,0,1.08,0.064152332,0.0782265,0,2.3,0.083432544,0.0137058,0,0.43,0.030511829,0.0378849,0,1.14,0.043709477,0.0086631,0,0.3,0.021216677,0.0285753,0,0.77,0.03443282,0.0062064,0,0.23,0.014724047,0.0266358,0,0.4,0.033285871,0.0043962,0,0.184,0.009647632,0.0272823,0,0.33,0.033345516,0.0037497,0,0.153,0.006295787,0.0254721,0,0.21,0.031964962,0.0031032,0,0.131,0.004002141,0.0254721,0,0.15,0.030447338,0.0024567,0,0.115,0.002964328,0.0248256,0,0.132,0.028973316,0.0024567,0,0.102,0.002531812,0.0235326,0,0.118,0.027301515,0.0018102,0,0.092,0.002363222,0.0230154,0,0.107,0.026162533,0.0018102,0,0.084,0.002288715,0.0217224,0,0.098,0.025039437,0.0018102,0,0.077,0.002278765,0.0173262,0,0.09,0.021993417,0.0018102,0,0.071,0.002386524,0.015516,0,0.083,0.019467714,0.001293,0,0.066,0.002741092,0.014223,0,0.078,0.017177866,0.001293,0,0.061,0.003439278,0.0137058,0,0.073,0.015628805,0.001293,0,0.058,0.004708674,0.0130593,0,0.068,0.016191489,0.001293,0,0.054,0.00679766,0.0223689,0,0.064,0.024026553,0.0018102,0,0.051,0.008981084,0.031032,0,0.061,0.030315382,0.001293,0,0.048,0.00907563,0.0235326,0,0.058,0.025523433,0.001293,0,0.046,0.007052405
