Ithd,Frequency Distribution,IHD 2nd Order,Frequency Distribution,IHD 3rd Order,Frequency Distribution,IHD 4th Order,Frequency Distribution,IHD 5th Order,Frequency Distribution,IHD 6th Order,Frequency Distribution,IHD 7th Order,Frequency Distribution,IHD 8th Order,Frequency Distribution,IHD 9th Order,Frequency Distribution,IHD 10th Order,Frequency Distribution,IHD 11th Order,Frequency Distribution,IHD 12th Order,Frequency Distribution,IHD 13th Order,Frequency Distribution,IHD 14th Order,Frequency Distribution,IHD 15th Order,Frequency Distribution,IHD 16th Order,Frequency Distribution,IHD 17th Order,Frequency Distribution,IHD 18th Order,Frequency Distribution,IHD 19th Order,Frequency Distribution,IHD 20th Order,Frequency Distribution,IHD 21st Order,Frequency Distribution,IHD 22nd Order,Frequency Distribution,IHD 23rd Order,Frequency Distribution,IHD 24th Order,Frequency Distribution,IHD 25th Order,Frequency Distribution,IHD 26th Order,Frequency Distribution,IHD 27th Order,Frequency Distribution,IHD 28th Order,Frequency Distribution,IHD 29th Order,Frequency Distribution,IHD 30th Order,Frequency Distribution,IHD 31st Order,Frequency Distribution,IHD 32nd Order,Frequency Distribution,IHD 33rd Order,Frequency Distribution,IHD 34th Order,Frequency Distribution,IHD 35th Order,Frequency Distribution,IHD 36th Order,Frequency Distribution,IHD 37th Order,Frequency Distribution,IHD 38th Order,Frequency Distribution,IHD 39th Order,Frequency Distribution,IHD 40th Order,Frequency Distribution
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0.04,0,0.16,0,0.04,1,0.16,0,0.04,10,0.16,4,0.04,10,0.16,4,0.04,16,0.08,0,0.02,6,0.08,0,0.02,17,0.08,0,0.02,25,0.06,0,0.015,20,0.06,0,0.015,23,0.06,0,0.015,29,0.024,0,0.006,3,0.024,0,0.006,3,0.024,0,0.006,5,0.024,0,0.006,7,0.024,0,0.006,10,0.024,0,0.006,6,0.012,0,0.003,0,0.012,0,0.003,0,0.012,0,0.003,0
0.4,0,0.08,0,0.32,0,0.08,8,0.32,29,0.08,4,0.32,34,0.08,9,0.32,34,0.08,11,0.16,0,0.04,16,0.16,0,0.04,14,0.16,0,0.04,15,0.12,0,0.03,20,0.12,0,0.03,17,0.12,0,0.03,11,0.048,0,0.012,13,0.048,0,0.012,14,0.048,0,0.012,15,0.048,0,0.012,18,0.048,0,0.012,15,0.048,0,0.012,21,0.024,0,0.006,2,0.024,0,0.006,3,0.024,0,0.006,4
0.6,0,0.12,0,0.48,0,0.12,5,0.48,10,0.12,5,0.48,1,0.12,8,0.48,1,0.12,5,0.24,34,0.06,7,0.24,34,0.06,8,0.24,35,0.06,0,0.18,0,0.045,0,0.18,2,0.045,0,0.18,6,0.045,0,0.072,0,0.018,20,0.072,0,0.018,16,0.072,0,0.018,10,0.072,0,0.018,3,0.072,0,0.018,3,0.072,1,0.018,1,0.036,0,0.009,0,0.036,0,0.009,0,0.036,0,0.009,0
0.8,0,0.16,0,0.64,24,0.16,5,0.64,1,0.16,5,0.64,1,0.16,2,0.64,1,0.16,6,0.32,5,0.08,4,0.32,5,0.08,1,0.32,4,0.08,0,0.24,39,0.06,0,0.24,38,0.06,0,0.24,34,0.06,0,0.096,0,0.024,4,0.096,0,0.024,5,0.096,0,0.024,7,0.096,0,0.024,7,0.096,8,0.024,3,0.096,11,0.024,1,0.048,0,0.012,13,0.048,0,0.012,13,0.048,0,0.012,21
1,0,0.2,0,0.8,15,0.2,2,0.8,0,0.2,4,0.8,0,0.2,2,0.8,0,0.2,2,0.4,0,0.1,5,0.4,1,0.1,0,0.4,1,0.1,0,0.3,1,0.075,0,0.3,0,0.075,0,0.3,0,0.075,0,0.12,0,0.03,0,0.12,0,0.03,2,0.12,3,0.03,0,0.12,14,0.03,0,0.12,26,0.03,2,0.12,13,0.03,3,0.06,0,0.015,13,0.06,0,0.015,12,0.06,0,0.015,3
1.2,0,0.24,0,0.96,1,0.24,6,0.96,0,0.24,1,0.96,0,0.24,7,0.96,0,0.24,0,0.48,1,0.12,2,0.48,0,0.12,0,0.48,0,0.12,0,0.36,0,0.09,0,0.36,0,0.09,0,0.36,0,0.09,0,0.144,0,0.036,0,0.144,5,0.036,0,0.144,18,0.036,3,0.144,24,0.036,2,0.144,6,0.036,2,0.144,15,0.036,0,0.072,1,0.018,0,0.072,0,0.018,0,0.072,1,0.018,0
1.4,0,0.28,0,1.12,0,0.28,1,1.12,0,0.28,2,1.12,0,0.28,2,1.12,0,0.28,0,0.56,0,0.14,0,0.56,0,0.14,0,0.56,0,0.14,0,0.42,0,0.105,0,0.42,0,0.105,0,0.42,0,0.105,0,0.168,3,0.042,0,0.168,18,0.042,0,0.168,14,0.042,0,0.168,2,0.042,1,0.168,0,0.042,0,0.168,0,0.042,3,0.084,0,0.021,0,0.084,0,0.021,0,0.084,1,0.021,2
1.6,2,0.32,3,1.28,0,0.32,1,1.28,0,0.32,2,1.28,0,0.32,0,1.28,0,0.32,0,0.64,0,0.16,0,0.64,0,0.16,0,0.64,0,0.16,0,0.48,0,0.12,0,0.48,0,0.12,0,0.48,0,0.12,0,0.192,20,0.048,0,0.192,14,0.048,0,0.192,5,0.048,0,0.192,0,0.048,1,0.192,0,0.048,2,0.192,0,0.048,2,0.096,1,0.024,0,0.096,1,0.024,0,0.096,2,0.024,0
1.8,8,0.36,5,1.44,0,0.36,1,1.44,0,0.36,4,1.44,0,0.36,0,1.44,0,0.36,0,0.72,0,0.18,0,0.72,0,0.18,0,0.72,0,0.18,0,0.54,0,0.135,0,0.54,0,0.135,0,0.54,0,0.135,0,0.216,17,0.054,0,0.216,3,0.054,0,0.216,0,0.054,0,0.216,0,0.054,1,0.216,0,0.054,2,0.216,0,0.054,1,0.108,2,0.027,2,0.108,3,0.027,2,0.108,4,0.027,2
2,17,0.4,5,1.6,0,0.4,1,1.6,0,0.4,2,1.6,0,0.4,0,1.6,0,0.4,0,0.8,0,0.2,0,0.8,0,0.2,0,0.8,0,0.2,0,0.6,0,0.15,0,0.6,0,0.15,0,0.6,0,0.15,0,0.24,0,0.06,0,0.24,0,0.06,0,0.24,0,0.06,0,0.24,0,0.06,0,0.24,0,0.06,1,0.24,0,0.06,0,0.12,2,0.03,2,0.12,2,0.03,2,0.12,3,0.03,3
2.2,5,0.44,6,1.76,0,0.44,1,1.76,0,0.44,1,1.76,0,0.44,0,1.76,0,0.44,0,0.88,0,0.22,0,0.88,0,0.22,0,0.88,0,0.22,0,0.66,0,0.165,0,0.66,0,0.165,0,0.66,0,0.165,0,0.264,0,0.066,0,0.264,0,0.066,0,0.264,0,0.066,0,0.264,0,0.066,0,0.264,0,0.066,0,0.264,0,0.066,1,0.132,6,0.033,0,0.132,1,0.033,0,0.132,1,0.033,0
2.4,5,0.48,7,1.92,0,0.48,4,1.92,0,0.48,0,1.92,0,0.48,0,1.92,0,0.48,0,0.96,0,0.24,0,0.96,0,0.24,0,0.96,0,0.24,0,0.72,0,0.18,0,0.72,0,0.18,0,0.72,0,0.18,0,0.288,0,0.072,0,0.288,0,0.072,0,0.288,0,0.072,0,0.288,0,0.072,0,0.288,0,0.072,0,0.288,0,0.072,1,0.144,5,0.036,0,0.144,4,0.036,2,0.144,2,0.036,1
2.6,2,0.52,1,2.08,0,0.52,2,2.08,0,0.52,0,2.08,0,0.52,0,2.08,0,0.52,0,1.04,0,0.26,0,1.04,0,0.26,0,1.04,0,0.26,0,0.78,0,0.195,0,0.78,0,0.195,0,0.78,0,0.195,0,0.312,0,0.078,0,0.312,0,0.078,0,0.312,0,0.078,0,0.312,0,0.078,0,0.312,0,0.078,0,0.312,0,0.078,0,0.156,2,0.039,2,0.156,0,0.039,2,0.156,3,0.039,2
2.8,1,0.56,2,2.24,0,0.56,2,2.24,0,0.56,0,2.24,0,0.56,0,2.24,0,0.56,0,1.12,0,0.28,0,1.12,0,0.28,0,1.12,0,0.28,0,0.84,0,0.21,0,0.84,0,0.21,0,0.84,0,0.21,0,0.336,0,0.084,0,0.336,0,0.084,0,0.336,0,0.084,0,0.336,0,0.084,0,0.336,0,0.084,0,0.336,0,0.084,0,0.168,3,0.042,0,0.168,3,0.042,0,0.168,2,0.042,0
3,0,0.6,1,2.4,0,0.6,0,2.4,0,0.6,0,2.4,0,0.6,0,2.4,0,0.6,0,1.2,0,0.3,0,1.2,0,0.3,0,1.2,0,0.3,0,0.9,0,0.225,0,0.9,0,0.225,0,0.9,0,0.225,0,0.36,0,0.09,0,0.36,0,0.09,0,0.36,0,0.09,0,0.36,0,0.09,0,0.36,0,0.09,0,0.36,0,0.09,0,0.18,2,0.045,2,0.18,2,0.045,0,0.18,1,0.045,0
3.2,0,0.64,2,2.56,0,0.64,0,2.56,0,0.64,0,2.56,0,0.64,0,2.56,0,0.64,0,1.28,0,0.32,0,1.28,0,0.32,0,1.28,0,0.32,0,0.96,0,0.24,0,0.96,0,0.24,0,0.96,0,0.24,0,0.384,0,0.096,0,0.384,0,0.096,0,0.384,0,0.096,0,0.384,0,0.096,0,0.384,0,0.096,0,0.384,0,0.096,0,0.192,2,0.048,1,0.192,2,0.048,2,0.192,4,0.048,1
3.4,0,0.68,3,2.72,0,0.68,0,2.72,0,0.68,0,2.72,0,0.68,0,2.72,0,0.68,0,1.36,0,0.34,0,1.36,0,0.34,0,1.36,0,0.34,0,1.02,0,0.255,0,1.02,0,0.255,0,1.02,0,0.255,0,0.408,0,0.102,0,0.408,0,0.102,0,0.408,0,0.102,0,0.408,0,0.102,0,0.408,0,0.102,0,0.408,0,0.102,0,0.204,1,0.051,0,0.204,1,0.051,0,0.204,2,0.051,0
3.6,0,0.72,2,2.88,0,0.72,0,2.88,0,0.72,0,2.88,0,0.72,0,2.88,0,0.72,0,1.44,0,0.36,0,1.44,0,0.36,0,1.44,0,0.36,0,1.08,0,0.27,0,1.08,0,0.27,0,1.08,0,0.27,0,0.432,0,0.108,0,0.432,0,0.108,0,0.432,0,0.108,0,0.432,0,0.108,0,0.432,0,0.108,0,0.432,0,0.108,0,0.216,7,0.054,1,0.216,1,0.054,0,0.216,3,0.054,1
3.8,0,0.76,2,3.04,0,0.76,0,3.04,0,0.76,0,3.04,0,0.76,0,3.04,0,0.76,0,1.52,0,0.38,0,1.52,0,0.38,0,1.52,0,0.38,0,1.14,0,0.285,0,1.14,0,0.285,0,1.14,0,0.285,0,0.456,0,0.114,0,0.456,0,0.114,0,0.456,0,0.114,0,0.456,0,0.114,0,0.456,0,0.114,0,0.456,0,0.114,0,0.228,3,0.057,0,0.228,2,0.057,0,0.228,2,0.057,0
4,0,0.8,1,3.2,0,0.8,0,3.2,0,0.8,0,3.2,0,0.8,0,3.2,0,0.8,0,1.6,0,0.4,0,1.6,0,0.4,0,1.6,0,0.4,0,1.2,0,0.3,0,1.2,0,0.3,0,1.2,0,0.3,0,0.48,0,0.12,0,0.48,0,0.12,0,0.48,0,0.12,0,0.48,0,0.12,0,0.48,0,0.12,0,0.48,0,0.12,0,0.24,2,0.06,0,0.24,4,0.06,1,0.24,4,0.06,0
