Ithd,,,IHD 2nd Order,,,IHD 3rd Order,,,IHD 4th Order,,,IHD 5th Order,,,IHD 6th Order,,,IHD 7th Order,,,IHD 8th Order,,,IHD 9th Order,,,IHD 10th Order,,,IHD 11th Order,,,IHD 12th Order,,,IHD 13th Order,,,IHD 14th Order,,,IHD 15th Order,,,IHD 16th Order,,,IHD 17th Order,,,IHD 18th Order,,,IHD 19th Order,,,IHD 20th Order,,,IHD 21st Order,,,IHD 22nd Order,,,IHD 23rd Order,,,IHD 24th Order,,,IHD 25th Order,,,IHD 26th Order,,,IHD 27th Order,,,IHD 28th Order,,,IHD 29th Order,,,IHD 30th Order,,,IHD 31st Order,,,IHD 32nd Order,,,IHD 33rd Order,,,IHD 34th Order,,,IHD 35th Order,,,IHD 36th Order,,,IHD 37th Order,,,IHD 38th Order,,,IHD 39th Order,,,IHD 40th Order,,
0,0,1.820951909,0,0,1.080038606,0,0,12.86441104,0,0,1.411611429,0,0,9.22358632,0,0,2.100300143,0,0,7.888750237,0,0,3.322749723,0,0,8.803055225,0,0,5.668447841,0,0,4.980380865,0,0,5.060840803,0,0,6.512903217,0,0,10.27169957,0,0,9.039860057,0,0,21.74274778,0,0,9.632182986,0,0,22.85319032,0,0,13.41599552,0,0,23.01650689,0,0,18.27475032,0,0,21.16984196,0,0,6.928561052,0,0,6.297830839,0,0,7.391618349,0,0,5.606515593,0,0,8.025349763,0,0,3.34886028,0,0,9.566979364,0,0,1.739656877,0,0,6.438274955,0,0,1.003665715,0,0,3.358014248,0,0,0.50618134,0,0,0.371683816,0,0,0.006816444,0,0,0.114898102,0,0,0.002117982,0,0,0.231071035,0,0,0.081314612
0.2,0,,0.04,0,,0.16,0,,0.04,1,,0.16,0,,0.04,21,,0.16,10,,0.04,26,,0.16,7,,0.04,41,,0.08,0,,0.02,13,,0.08,0,,0.02,30,,0.08,0,,0.02,43,,0.06,0,,0.015,26,,0.06,0,,0.015,33,,0.06,0,,0.015,40,,0.024,0,,0.006,3,,0.024,0,,0.006,3,,0.024,0,,0.006,5,,0.024,0,,0.006,8,,0.024,0,,0.006,11,,0.024,0,,0.006,6,,0.012,0,,0.003,0,,0.012,0,,0.003,0,,0.012,0,,0.003,0,
0.4,0,,0.08,0,,0.32,0,,0.08,16,,0.32,54,,0.08,18,,0.32,75,,0.08,24,,0.32,78,,0.08,26,,0.16,0,,0.04,40,,0.16,0,,0.04,44,,0.16,0,,0.04,54,,0.12,0,,0.03,73,,0.12,0,,0.03,65,,0.12,0,,0.03,58,,0.048,0,,0.012,16,,0.048,0,,0.012,18,,0.048,0,,0.012,19,,0.048,0,,0.012,25,,0.048,0,,0.012,22,,0.048,0,,0.012,28,,0.024,0,,0.006,2,,0.024,0,,0.006,3,,0.024,0,,0.006,4,
0.6,0,,0.12,0,,0.48,1,,0.12,22,,0.48,35,,0.12,12,,0.48,5,,0.12,15,,0.48,6,,0.12,8,,0.24,70,,0.06,17,,0.24,71,,0.06,20,,0.24,77,,0.06,2,,0.18,0,,0.045,0,,0.18,3,,0.045,1,,0.18,14,,0.045,1,,0.072,0,,0.018,30,,0.072,0,,0.018,23,,0.072,0,,0.018,18,,0.072,0,,0.018,5,,0.072,0,,0.018,6,,0.072,2,,0.018,4,,0.036,0,,0.009,0,,0.036,0,,0.009,0,,0.036,0,,0.009,0,
0.8,0,,0.16,0,,0.64,47,,0.16,10,,0.64,5,,0.16,9,,0.64,4,,0.16,6,,0.64,3,,0.16,15,,0.32,16,,0.08,9,,0.32,17,,0.08,5,,0.32,14,,0.08,0,,0.24,82,,0.06,0,,0.24,84,,0.06,0,,0.24,78,,0.06,0,,0.096,0,,0.024,40,,0.096,0,,0.024,37,,0.096,0,,0.024,27,,0.096,0,,0.024,16,,0.096,10,,0.024,8,,0.096,19,,0.024,6,,0.048,0,,0.012,14,,0.048,0,,0.012,13,,0.048,0,,0.012,24,
1,0,,0.2,0,,0.8,45,,0.2,7,,0.8,3,,0.2,9,,0.8,3,,0.2,5,,0.8,3,,0.2,7,,0.4,5,,0.1,11,,0.4,5,,0.1,0,,0.4,3,,0.1,0,,0.3,12,,0.075,0,,0.3,10,,0.075,0,,0.3,7,,0.075,0,,0.12,0,,0.03,6,,0.12,0,,0.03,12,,0.12,10,,0.03,10,,0.12,27,,0.03,11,,0.12,50,,0.03,4,,0.12,28,,0.03,5,,0.06,0,,0.015,21,,0.06,0,,0.015,17,,0.06,0,,0.015,8,
1.2,0,,0.24,0,,0.96,6,,0.24,9,,0.96,2,,0.24,2,,0.96,1,,0.24,13,,0.96,2,,0.24,2,,0.48,2,,0.12,7,,0.48,1,,0.12,0,,0.48,3,,0.12,0,,0.36,3,,0.09,0,,0.36,2,,0.09,0,,0.36,0,,0.09,0,,0.144,0,,0.036,3,,0.144,12,,0.036,4,,0.144,33,,0.036,8,,0.144,54,,0.036,7,,0.144,26,,0.036,3,,0.144,27,,0.036,0,,0.072,1,,0.018,0,,0.072,0,,0.018,0,,0.072,2,,0.018,0,
1.4,0,,0.28,0,,1.12,0,,0.28,4,,1.12,0,,0.28,5,,1.12,1,,0.28,5,,1.12,0,,0.28,0,,0.56,1,,0.14,2,,0.56,3,,0.14,0,,0.56,1,,0.14,0,,0.42,1,,0.105,0,,0.42,0,,0.105,0,,0.42,0,,0.105,0,,0.168,8,,0.042,0,,0.168,32,,0.042,1,,0.168,39,,0.042,6,,0.168,15,,0.042,8,,0.168,6,,0.042,3,,0.168,5,,0.042,4,,0.084,0,,0.021,2,,0.084,0,,0.021,5,,0.084,2,,0.021,6,
1.6,3,,0.32,5,,1.28,0,,0.32,2,,1.28,0,,0.32,6,,1.28,0,,0.32,2,,1.28,0,,0.32,0,,0.64,3,,0.16,0,,0.64,0,,0.16,0,,0.64,1,,0.16,0,,0.48,1,,0.12,0,,0.48,0,,0.12,0,,0.48,0,,0.12,0,,0.192,41,,0.048,1,,0.192,41,,0.048,1,,0.192,16,,0.048,3,,0.192,3,,0.048,5,,0.192,4,,0.048,9,,0.192,7,,0.048,3,,0.096,3,,0.024,0,,0.096,1,,0.024,0,,0.096,3,,0.024,0,
1.8,13,,0.36,12,,1.44,0,,0.36,2,,1.44,0,,0.36,7,,1.44,0,,0.36,3,,1.44,0,,0.36,0,,0.72,0,,0.18,0,,0.72,2,,0.18,0,,0.72,0,,0.18,0,,0.54,0,,0.135,0,,0.54,0,,0.135,0,,0.54,0,,0.135,0,,0.216,39,,0.054,0,,0.216,12,,0.054,0,,0.216,1,,0.054,1,,0.216,0,,0.054,8,,0.216,2,,0.054,10,,0.216,6,,0.054,2,,0.108,5,,0.027,4,,0.108,4,,0.027,4,,0.108,6,,0.027,4,
