Ithd,Frequency Distribution,IHD 2nd Order,Frequency Distribution,IHD 3rd Order,Frequency Distribution,IHD 4th Order,Frequency Distribution,IHD 5th Order,Frequency Distribution,IHD 6th Order,Frequency Distribution,IHD 7th Order,Frequency Distribution,IHD 8th Order,Frequency Distribution,IHD 9th Order,Frequency Distribution,IHD 10th Order,Frequency Distribution,IHD 11th Order,Frequency Distribution,IHD 12th Order,Frequency Distribution,IHD 13th Order,Frequency Distribution,IHD 14th Order,Frequency Distribution,IHD 15th Order,Frequency Distribution,IHD 16th Order,Frequency Distribution,IHD 17th Order,Frequency Distribution,IHD 18th Order,Frequency Distribution,IHD 19th Order,Frequency Distribution,IHD 20th Order,Frequency Distribution,IHD 21st Order,Frequency Distribution,IHD 22nd Order,Frequency Distribution,IHD 23rd Order,Frequency Distribution,IHD 24th Order,Frequency Distribution,IHD 25th Order,Frequency Distribution,IHD 26th Order,Frequency Distribution,IHD 27th Order,Frequency Distribution,IHD 28th Order,Frequency Distribution,IHD 29th Order,Frequency Distribution,IHD 30th Order,Frequency Distribution,IHD 31st Order,Frequency Distribution,IHD 32nd Order,Frequency Distribution,IHD 33rd Order,Frequency Distribution,IHD 34th Order,Frequency Distribution,IHD 35th Order,Frequency Distribution,IHD 36th Order,Frequency Distribution,IHD 37th Order,Frequency Distribution,IHD 38th Order,Frequency Distribution,IHD 39th Order,Frequency Distribution,IHD 40th Order,Frequency Distribution
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0.0432,7,0.092,80,0.0172,39,0.0456,73,0.012,42,0.0308,59,0.0092,44,0.016,0,0.00736,50,0.0132,0,0.00612,61,0.0084,0,0.00524,74,0.006,0,0.0046,96,0.00528,0,0.00408,99,0.00472,0,0.00368,96,0.00428,0,0.00336,94,0.00392,0,0.00308,71,0.0036,0,0.00284,68,0.00332,0,0.00264,58,0.00312,0,0.00244,38,0.00292,0,0.00232,39,0.00272,0,0.00216,38,0.00256,0,0.00204,37,0.00244,0,0.00192,33,0.00232,0,0.00184,33
0.4,0,0.0864,77,0.184,19,0.0344,27,0.0912,22,0.024,25,0.0616,31,0.0184,25,0.032,70,0.01472,21,0.0264,26,0.01224,28,0.0168,0,0.01048,25,0.012,0,0.0092,3,0.01056,0,0.00816,0,0.00944,0,0.00736,3,0.00856,0,0.00672,5,0.00784,0,0.00616,28,0.0072,0,0.00568,31,0.00664,0,0.00528,35,0.00624,0,0.00488,34,0.00584,0,0.00464,15,0.00544,0,0.00432,11,0.00512,0,0.00408,8,0.00488,0,0.00384,12,0.00464,0,0.00368,13
0.6,0,0.1296,15,0.276,0,0.0516,10,0.1368,4,0.036,8,0.0924,4,0.0276,11,0.048,20,0.02208,20,0.0396,57,0.01836,10,0.0252,9,0.01572,0,0.018,0,0.0138,0,0.01584,0,0.01224,0,0.01416,0,0.01104,0,0.01284,0,0.01008,0,0.01176,0,0.00924,0,0.0108,0,0.00852,0,0.00996,0,0.00792,4,0.00936,0,0.00732,21,0.00876,0,0.00696,22,0.00816,0,0.00648,8,0.00768,0,0.00612,9,0.00732,0,0.00576,9,0.00696,0,0.00552,10
0.8,0,0.1728,0,0.368,0,0.0688,16,0.1824,0,0.048,16,0.1232,4,0.0368,14,0.064,1,0.02944,8,0.0528,8,0.02448,0,0.0336,67,0.02096,0,0.024,0,0.0184,0,0.02112,0,0.01632,0,0.01888,0,0.01472,0,0.01712,0,0.01344,0,0.01568,0,0.01232,0,0.0144,0,0.01136,0,0.01328,0,0.01056,2,0.01248,0,0.00976,3,0.01168,2,0.00928,13,0.01088,5,0.00864,8,0.01024,1,0.00816,4,0.00976,0,0.00768,5,0.00928,1,0.00736,5
1,0,0.216,0,0.46,0,0.086,3,0.228,0,0.06,4,0.154,1,0.046,5,0.08,3,0.0368,0,0.066,3,0.0306,0,0.042,12,0.0262,0,0.03,69,0.023,0,0.0264,33,0.0204,0,0.0236,11,0.0184,0,0.0214,0,0.0168,0,0.0196,0,0.0154,0,0.018,7,0.0142,0,0.0166,14,0.0132,0,0.0156,21,0.0122,1,0.0146,31,0.0116,4,0.0136,22,0.0108,13,0.0128,4,0.0102,3,0.0122,1,0.0096,1,0.0116,4,0.0092,4
1.2,0,0.2592,0,0.552,0,0.1032,4,0.2736,0,0.072,4,0.1848,0,0.0552,0,0.096,3,0.04416,0,0.0792,1,0.03672,0,0.0504,3,0.03144,0,0.036,17,0.0276,0,0.03168,49,0.02448,0,0.02832,58,0.02208,0,0.02568,50,0.02016,0,0.02352,26,0.01848,0,0.0216,37,0.01704,0,0.01992,38,0.01584,0,0.01872,56,0.01464,0,0.01752,43,0.01392,3,0.01632,27,0.01296,4,0.01536,8,0.01224,8,0.01464,4,0.01152,5,0.01392,8,0.01104,5
1.4,0,0.3024,0,0.644,0,0.1204,0,0.3192,0,0.084,0,0.2156,0,0.0644,0,0.112,0,0.05152,0,0.0924,2,0.04284,0,0.0588,3,0.03668,0,0.042,5,0.0322,0,0.03696,8,0.02856,0,0.03304,21,0.02576,0,0.02996,39,0.02352,0,0.02744,61,0.02156,0,0.0252,44,0.01988,0,0.02324,39,0.01848,0,0.02184,19,0.01708,1,0.02044,16,0.01624,0,0.01904,22,0.01512,7,0.01792,14,0.01428,4,0.01708,6,0.01344,7,0.01624,7,0.01288,8
1.6,3,0.3456,0,0.736,0,0.1376,0,0.3648,0,0.096,0,0.2464,0,0.0736,0,0.128,2,0.05888,0,0.1056,1,0.04896,0,0.0672,2,0.04192,0,0.048,3,0.0368,0,0.04224,4,0.03264,0,0.03776,5,0.02944,0,0.03424,7,0.02688,0,0.03136,8,0.02464,0,0.0288,11,0.02272,0,0.02656,8,0.02112,0,0.02496,3,0.01952,0,0.02336,2,0.01856,1,0.02176,5,0.01728,4,0.02048,12,0.01632,6,0.01952,7,0.01536,3,0.01856,9,0.01472,8
1.8,13,0.3888,0,0.828,0,0.1548,0,0.4104,0,0.108,0,0.2772,0,0.0828,0,0.144,0,0.06624,0,0.1188,1,0.05508,0,0.0756,1,0.04716,0,0.054,1,0.0414,0,0.04752,3,0.03672,0,0.04248,2,0.03312,0,0.03852,2,0.03024,0,0.03528,4,0.02772,0,0.0324,0,0.02556,0,0.02988,0,0.02376,0,0.02808,0,0.02196,1,0.02628,4,0.02088,0,0.02448,7,0.01944,1,0.02304,9,0.01836,3,0.02196,5,0.01728,4,0.02088,10,0.01656,6
